job_id,n,k,t,lambda,dd_mode,batch_idx,n_batches,status,qpu_seconds,executions,created,running,finished,queue_seconds,run_seconds,total_seconds
d82v6fugbeec73amb110,5,2,1,0.9,off,2,4,DONE,7.0,,2026-05-14 16:07:28.424875+00:00,2026-05-14 16:07:39.539102+00:00,2026-05-14 16:11:32.403496+00:00,11.114227,232.864394,243.978621
d82v8hg0bvlc73d2qs9g,5,2,1,0.9,off,3,4,DONE,11.0,,2026-05-14 16:11:51.052269+00:00,2026-05-14 16:12:02.339077+00:00,2026-05-14 16:16:11.983216+00:00,11.286808,249.644139,260.930947
d82vano0bvlc73d2qurg,5,2,1,0.0,on,0,4,DONE,13.0,,2026-05-14 16:16:32.658964+00:00,2026-05-14 16:17:26.345014+00:00,2026-05-14 16:22:34.135880+00:00,53.68605,307.790866,361.476916
d82vdnftjchs73boj8j0,5,2,1,0.0,on,1,4,DONE,8.0,,2026-05-14 16:22:53.659885+00:00,2026-05-14 16:23:03.662481+00:00,2026-05-14 16:28:03.354173+00:00,10.002596,299.691692,309.694288
d82vg9mgbeec73ambci0,5,2,1,0.0,on,2,4,DONE,8.0,,2026-05-14 16:28:22.927902+00:00,2026-05-14 16:28:32.299498+00:00,2026-05-14 16:33:32.460193+00:00,9.371596,300.160695,309.532291
d82vismgbeec73ambfig,5,2,1,0.0,on,3,4,DONE,8.0,,2026-05-14 16:33:55.151996+00:00,2026-05-14 16:34:01.623227+00:00,2026-05-14 16:39:01.770589+00:00,6.471231,300.147362,306.618593
d82vleegbeec73ambijg,5,2,1,0.1,on,0,4,DONE,8.0,,2026-05-14 16:39:21.700019+00:00,2026-05-14 16:39:30.135039+00:00,2026-05-14 16:44:31.918052+00:00,8.43502,301.783013,310.218033
d82vo0foha1c73bm43ag,5,2,1,0.1,on,1,4,DONE,8.0,,2026-05-14 16:44:50.474589+00:00,2026-05-14 16:45:00.148198+00:00,2026-05-14 16:49:00.509379+00:00,9.673609,240.361181,250.03479
d82vq3voha1c73bm45h0,5,2,1,0.1,on,2,4,DONE,10.0,,2026-05-14 16:49:24.201423+00:00,2026-05-14 16:49:48.821790+00:00,2026-05-14 16:53:49.719686+00:00,24.620367,240.897896,265.518263
d82vsbugbeec73ambq4g,5,2,1,0.1,on,3,4,DONE,15.0,,2026-05-14 16:54:08.125160+00:00,2026-05-14 16:54:26.063345+00:00,2026-05-14 16:58:29.289801+00:00,17.938185,243.226456,261.164641
